"filename", "language", "TypeScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/new-vm/new-vm.component.html", "HTML", 0, 0, 16, 0, 0, 8, 24
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/new-vm/new-vm.component.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 6, 26
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/new-vm/new-vm.component.ts", "TypeScript", 42, 0, 0, 0, 0, 7, 49
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/register/register-dialog.component.css", "CSS", 0, 18, 0, 0, 0, 5, 23
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/register/register-dialog.component.html", "HTML", 0, 0, 35, 0, 0, 10, 45
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/register/register-dialog.component.ts", "TypeScript", 48, 0, 0, 0, 0, 7, 55
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/vm-options-modal/vm-options-modal.component.css", "CSS", 0, 8, 0, 0, 0, 2, 10
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/vm-options-modal/vm-options-modal.component.html", "HTML", 0, 0, 37, 0, 0, 7, 44
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/vm-options-modal/vm-options-modal.component.ts", "TypeScript", 21, 0, 0, 0, 0, 7, 28
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/vm-owner/vm-owner-modal.component.html", "HTML", 0, 0, 11, 0, 0, 5, 16
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/vm-owner/vm-owner-modal.component.ts", "TypeScript", 28, 0, 0, 0, 0, 6, 34
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/vm-viewer/vm-viewer-modal.component.html", "HTML", 0, 0, 9, 0, 0, 5, 14
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/modals/vm-viewer/vm-viewer-modal.component.ts", "TypeScript", 25, 0, 0, 0, 0, 7, 32
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/models/assignment.model.ts", "TypeScript", 12, 0, 0, 0, 7, 3, 22
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/models/course.model.ts", "TypeScript", 19, 0, 0, 0, 7, 3, 29
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/models/professor.model.ts", "TypeScript", 2, 0, 0, 0, 0, 2, 4
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/models/role.model.ts", "TypeScript", 5, 0, 0, 0, 4, 1, 10
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/models/student.model.ts", "TypeScript", 20, 0, 0, 0, 17, 3, 40
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/models/team-proposal.model.ts", "TypeScript", 20, 0, 0, 0, 0, 3, 23
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/models/team.model.ts", "TypeScript", 36, 0, 0, 0, 7, 3, 46
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/models/user.model.ts", "TypeScript", 17, 0, 0, 0, 15, 3, 35
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/models/vm-model.model.ts", "TypeScript", 13, 0, 0, 0, 7, 3, 23
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/models/vm.model.ts", "TypeScript", 17, 0, 0, 0, 11, 2, 30
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/professor/assignments/tab-assignments.component.html", "HTML", 0, 0, 23, 0, 5, 7, 35
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/professor/assignments/tab-assignments.component.ts", "TypeScript", 22, 0, 0, 0, 6, 5, 33
"/home/francesco/Università/Applicazioni Internet/Sprangular/webapp/src/app/professor/assignments/tab-assignments.container.html", "HTML", 0, 0, 1, 0, 0, 1, 2
